poet,rank,neighbor,similarity
الأشعث بن عابس,3,جبار بن قرط,0.9006689786911011
الأشعث بن عابس,4,الجميح الأسدي,0.8983418941497803
الأشعث بن عابس,5,ابن الأطنابة,0.8973410129547119
الأضبط السعدي,1,السموأل,0.9993973970413208
الأضبط السعدي,2,طرفة بن العبد,0.9991892576217651
الأضبط السعدي,3,النابغة الذبياني,0.9991428852081299
الأضبط السعدي,4,الحصين بن حمام الفزاري,0.9988836050033569
الأضبط السعدي,5,الأفوة الأودي,0.9988172650337219
الأعرج المري,1,الحارث الحضرمي,0.9985756874084473
الأعرج المري,2,الممزق العبدي,0.9981383085250854
الأعرج المري,3,السليك بن السلكة,0.9974256753921509
الأعرج المري,4,هند الفزارية,0.9972716569900513
الأعرج المري,5,الأشعث الجاشي,0.9972567558288574
الأعسر الضبي,1,حاجز الأزدي,0.9925433397293091
الأعسر الضبي,2,ابن زرعة الباهلي,0.9920545220375061
الأعسر الضبي,3,معقر بن حمار البارقي,0.991424560546875
الأعسر الضبي,4,المرقش الأكبر,0.990787923336029
الأعسر الضبي,5,ابن المضلَّل,0.9907228350639343
الأعور بن عمرو الازدي,1,الربيع بن أبي الحقيق,0.8647139072418213
الأعور بن عمرو الازدي,2,ضمرة بن ضمرة,0.8634636402130127
الأعور بن عمرو الازدي,3,الأسود النهشلي,0.8575929403305054
الأعور بن عمرو الازدي,4,سلامة بن جندل,0.8527094721794128
الأعور بن عمرو الازدي,5,أميمة بنت عبد المطلب,0.8466067314147949
الأفوة الأودي,1,عمرو بن قميئة,0.9996191263198853
الأفوة الأودي,2,زهير بن أبي سلمى,0.9995385408401489
الأفوة الأودي,3,السموأل,0.9995226860046387
الأفوة الأودي,4,الحارث بن عباد,0.9993706941604614
الأفوة الأودي,5,طرفة بن العبد,0.9993653297424316
البراق,1,عنترة بن شداد,0.9992613792419434
البراق,2,زبان بن سيار الفزاري,0.9988709688186646
البراق,3,عدي بن ربيعة,0.9988632202148438
البراق,4,الخنساء,0.9987353086471558
البراق,5,دريد بن الصمة,0.9986269474029541
البسوس بنت منقذ التميمية,1,الربيع بن أبي الحقيق,0.9499486684799194
البسوس بنت منقذ التميمية,2,شمر الحنفي,0.9308194518089294
البسوس بنت منقذ التميمية,3,سلامة بن جندل,0.9280940294265747
البسوس بنت منقذ التميمية,4,ضمرة بن ضمرة,0.9278388023376465
البسوس بنت منقذ التميمية,5,يربوع بن حنظلة,0.9264905452728271
البُرجُمي,1,يزيد الشني,0.999260663986206
البُرجُمي,2,بشر بن أبي خازم,0.9991754293441772
البُرجُمي,3,الأفوة الأودي,0.9991120100021362
البُرجُمي,4,مالك بن حريم الهمداني,0.9990652203559875
البُرجُمي,5,طرفة بن العبد,0.9990273714065552
الجراح الهمداني,1,المتلمس الضبعي,0.9577330350875854
الجراح الهمداني,2,تأبط شراً,0.9573090672492981
الجراح الهمداني,3,دريد بن الصمة,0.9572216272354126
الجراح الهمداني,4,عروة بن الورد,0.9571549296379089
الجراح الهمداني,5,الطفيل الغنوي,0.9570561647415161
الجميح الأسدي,1,حاجز الأزدي,0.9930728077888489
الجميح الأسدي,2,محرز الضبي,0.9925475716590881
الجميح الأسدي,3,المرقش الأكبر,0.9924947023391724
الجميح الأسدي,4,الفند الزماني,0.9901365637779236
الجميح الأسدي,5,الأعسر الضبي,0.9883713722229004
الجندل الفزاري,1,يزيد بن الصعق,0.9881170988082886
الجندل الفزاري,2,يزيد ذو القفا,0.9857661128044128
الجندل الفزاري,3,أفنون,0.9832348227500916
الجندل الفزاري,4,يزيد بن سنان المري,0.9822324514389038
الجندل الفزاري,5,جحدر الوائلي,0.9792317748069763
الجوزاء بنت عروة البصرية,1,صيفي الأسلت,0.7276407480239868
الجوزاء بنت عروة البصرية,2,الحارث بن ظالم المري,0.7035227417945862
الجوزاء بنت عروة البصرية,3,ورقاء بن زهير,0.6517214775085449
الجوزاء بنت عروة البصرية,4,ذو الإصبع العدواني,0.6209030747413635
الجوزاء بنت عروة البصرية,5,المثلم بن قرط البلوي,0.6126276254653931
الجيداء بنت زاهر الزبيدية,1,الجميح الأسدي,0.9615628123283386
الجيداء بنت زاهر الزبيدية,2,محرز الضبي,0.9602203369140625
الجيداء بنت زاهر الزبيدية,3,عبد يغوث الحارثي,0.9599201679229736
